objectid,title,filename,format,creator,date,description,subject,location,latitude,longitude,source,identifier,type,language,creativecommons,rights,rightsnotes,archivedpage,citation
demo001,"Oregon City, Oregon",oregoncity.jpg,image/jpeg,Carleton E. Watkins,1867,A stenograph of Oregon City featuring a mill and buildings,Pacific Coast; Oregon; Mills,"Oregon City, OR",45.35557895,-122.6063576,"<a href=""https://digitalcollections.nypl.org/items/510d47e2-699a-a3d9-e040-e00a18064a99"" target=""_blank"">Robert N. Dennis Collection of Stereoscopic Views - The New York Public Library Digital Collections</a>",d1bde300-c52e-012f-bd93-58d385a7bc34,Image; StillImage,eng,"<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","The copyright and related rights status of this item has been reviewed by The New York Public Library, but we were unable to make a conclusive determination as to the copyright status of the item. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","<a href=""https://web.archive.org/web/20230428201917/https://digitalcollections.nypl.org/items/d1bde300-c52e-012f-bd93-58d385a7bc34"" target=""_blank"">Archived Page</a>","""Oregon City, Oregon,"" Carleton E. Watkins. 1837, The New York Public Library Digital Collections, New York. NYPL Digital Collections, Robert N. Dennis Collection of Stereoscopic Views, <a href='https://digitalcollections.nypl.org/items/510d47e2-699a-a3d9-e040-e00a18064a99' target='_blank'>https://digitalcollections.nypl.org/items/510d47e2-699a-a3d9-e040-e00a18064a99</a>"
demo002,Cats - To be or not to be,cats.pdf,application/pdf,William L. Finley; Edgar F. Averill,1940-12-11,Article discussing the effects of domestic cats on bird populations. The article also briefly discusses mountain lions. Submitted to the Oregon Journal newspaper.,Cats,"Portland, OR",45.5190253556793,-122.694241404559,"<a href=""https://oregondigital.org/concern/documents/df71h5365"" target=""_blank"">William L. Finley Papers - Oregon State University Libraries</a>",mssfinley_series02_box03_folder05_10,Text,eng,,"<a href=""https://rightsstatements.org/page/InC/1.0/"" target=""_blank"">In Copyright</a>",This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,"<a href=""https://web.archive.org/web/20230428225707/https://oregondigital.org/concern/documents/df71h5365"" target=""_blank"">Archived Page</a>","""Cats, to be or not to be,"" William L. Finley and Edgar F. Averill. 1940, Oregon State University Libraries, Oregon. Oregon Digital, William L. Finley Papers, <a href='https://oregondigital.org/concern/documents/df71h5365' target='_blank'>https://oregondigital.org/concern/documents/df71h5365</a>"
